customer_id,first_name,last_name,total_spent,customer_segment
1352,Raksha,Lala,11590688.0,High Value
1064,Oni,Mittal,10489914.0,High Value
1278,Hritik,Shah,9897481.0,High Value
1102,Gaurangi,Balasubramanian,9884338.0,High Value
1197,Saanvi,Rana,9310311.0,High Value
1407,Prisha,Garg,8530510.0,High Value
1253,Rohan,Agate,8502809.0,High Value
1413,Tristan,Kota,8474817.0,High Value
1067,Urvi,Master,8443155.0,High Value
1217,Parth,Ratta,8429380.0,High Value
1070,Dakshesh,Som,8313248.0,High Value
1448,Laban,Varghese,8158709.0,High Value
1341,Jyoti,Maharaj,8113406.0,High Value
1089,Robert,Munshi,8037043.0,High Value
1167,Chandresh,Singhal,8032929.0,High Value
1439,Chandresh,Dewan,7955702.0,High Value
1092,Ethan,Seshadri,7790052.0,High Value
1252,Rehaan,Hayer,7781932.0,High Value
1277,Yasti,Aggarwal,7764990.0,High Value
1292,Maanas,Dugar,7704974.0,High Value
1455,Parth,Pradhan,7688024.0,High Value
1489,Ishita,Kara,7633157.0,High Value
1056,Ikbal,Sawhney,7608354.0,High Value
1037,Bhanumati,Gade,7507547.0,High Value
1225,Balhaar,Ramakrishnan,7473070.0,High Value
1205,Laban,Ravel,7400257.0,High Value
1370,Theodore,Wali,7326309.0,High Value
1075,Radhika,Loke,7315732.0,High Value
1493,Pratyush,Datta,7314444.0,High Value
1411,Hardik,De,7253020.0,High Value
1432,Abdul,Mittal,7236501.0,High Value
1011,Jason,Handa,7221675.0,High Value
1340,Priya,Ramanathan,7219954.0,High Value
1255,Siya,Yohannan,7193892.0,High Value
1147,Abdul,Jayaraman,7182173.0,High Value
1135,Tejas,Roy,7181222.0,High Value
1309,Mitali,Gour,7176314.0,High Value
1343,Nikita,Swaminathan,7138774.0,High Value
1342,Inaya,Rajan,7044024.0,High Value
1098,Neelima,Pai,7015352.0,High Value
1465,Chakradhar,Modi,6986596.0,High Value
1236,Bina,Chhabra,6976519.0,High Value
1007,Meera,Parsa,6954507.0,High Value
1332,Amara,Gade,6949925.0,High Value
1485,Nathan,Krishnamurthy,6908726.0,High Value
1336,Tristan,Lad,6888895.0,High Value
1397,Unni,Maharaj,6862044.0,High Value
1470,Falak,Andra,6827044.0,High Value
1444,Teerth,Grover,6815210.0,High Value
1087,Daksha,Tata,6803678.0,High Value
1246,Banjeet,Kar,6800893.0,High Value
1050,Vasatika,Rattan,6777096.0,High Value
1127,George,Sunder,6713798.0,High Value
1026,Ekanta,Deep,6688608.0,High Value
1338,Advay,Sidhu,6687918.0,High Value
1400,Sai,Dave,6677252.0,High Value
1390,Samuel,Buch,6674245.0,High Value
1023,Faris,Vyas,6650841.0,High Value
1481,Wyatt,Mahal,6621171.0,High Value
1145,Vanya,Khare,6620356.0,High Value
1041,Chandani,Basu,6617564.0,High Value
1221,Warinder,Chaudhary,6552638.0,High Value
1028,Dayamai,Roy,6480197.0,High Value
1177,Ubika,Handa,6436341.0,High Value
1199,Parth,Acharya,6422376.0,High Value
1399,Qadim,Deshmukh,6405614.0,High Value
1348,Zayyan,Raghavan,6402797.0,High Value
1029,Liam,Mander,6395938.0,High Value
